comment,comment_length
Cepetan Thole bang bisa jalan 2000,34
Amiiin dan Alhamdulillah ❤️✨🇮🇩😇,31
kirain gua Ridwan remin🗿,24
sama aja tolnya masih macet,27
😊😊😊😊😊😊😊,7
Lu nanya.... <br>Lu Bertanya tanya....,38
"yg di luar jawa, jangankan kereta cepat, kereta diesel biasa pun masih sangat minim",83
"Guna nya apa, kalau sampai membayar nya sebesar Rp 266 M per bulan selama 35 tahun  diambil dari  APBN ...Gunanya apa ??.<br><br>Memang kalau perjalan Jkt-Bdg  sudah lebih cepat 2 jam, apa guna nya.<br><br>Setara kah dgn 266 M pwr bulan dari APBN selama 35 tahun ??.",266
kereta cepat dari jkt ke bandung emg turunnya di Padalarang ya ? bukan di tegaluar ? atau ada pilihan sih ?,107
"kereta cepat , cepat mengantar ke kerugian negara",49
Siap bang ridwan remin,22
Saya kayaknya kalo naik kereta ini ga berani lihat jendela deh...takut vertigo..😅,81
Tinggal bayarin utangnya,24
Perjalanan kakak 1 jam 55 menit,31
"Naik drone aja klo mo lbih cpet..😅😅..,gw kira cukup lah 48 menit jarak sejauh itu..aman lg.",91
mantap...yg nyinyir dl  jgn naik ya😂😂😂,38
Wat aku aja dari jawa ke Bandung 1setengah jam loh,50
Bang aku udah pernah,20
Marilyn yaa😂😂😂😂❤❤❤❤,19
Pamerin aja teross Bung.. keretanya..,37
B4ray@ subuh 1jam 😂,19
Sayang sekali harusnya langsung ke tengah kota bandung...,57
"Termasuk cepat untuk waktu kerja sih, tapi gua anaknya maen di waktu jam 3 malam, dari Bogor-Bandung naek motor cuman 1.50 jam",126
Kurang cepat,12
"Keretanya emang cepat😂, kita nya jadi lama di perjalanan,",57
Alhamdulillah aku bangga ikut di project kereta KCIC yg dinikmati oleh masyarakat,81
Kasih tau tuh sama org2 b.d.h yg benci sama pak Jokowi<br>Bnran gk pny otak,75
"Memang tidak terasa goyangnya. Tapi kereta api cepat itu bukan milik kita, tapi milik China..",93
Yang naik orang jakarta/bandung yang bayar hutang seindonesia..taek,67
"Ngabisin Anggaran kereta kelas ekonomi yg harga nya 3000 juga kalo di buat jalur khusus jakarta bandung juga , beda beda tipis kalo sama smpe nya 2 jam mah . Kalo kaya gini kan ngabisin anggaran,<br><br>Malah semua kalangan bisa naik kreta kelas yg biasa&quot; tanpa embel&quot; kereta cepat wong smua kereta cepat kok",318
"Awal awal pemerintahan bilang cuma 30 mnit jakarta bandung, ga tau nya 2 jam wuuuh meleset jauhhh bgt<br><br>Perlu di pahami juga hampir semua kereta itu cepat , kalo 2 jam smpenya mah biasa aja , ga wah&quot; bgt",213
Suruh pelan aja bang.suruh hati2 masinisnya,43
Sy bawa mobil dr jakarta jam 12 smpe pasir kota ballroom sudirman jam 2 istirahat sekali di res area ngopi udud😅😅,113
Saya dari depok ke bandung bisa 3 jam tergantung kapan berangkatnya,67
Kak tanya donk. Apa kalau naik kcic itu sampai padalarang harus segera naik kereta feeder waktu itu atau bisa nunggu kereta feedrr berikutnya. Takut ya kita bingung. Atau telat atau apa.,186
"Wow, lu pake jam Seiko Alien, Bro….😃😃😃👍🏽👍🏽👍🏽",44
ini harga tiketnya brpa?,24
Kalo 2 jam sih bawa mobil juga sampe ya 😅,41
OOO ini kereta yg disubsidi rakyat miskin yg LG heboh,53
YTTA DI TOL HALIM☠️,19
Rwqter😊😊ou2p2😂😂😂😂😂,18
dendimas punya kesalahan satu doang buat yutub CAMCARAVAN,57
"Yg di luar jawa, hanya bisa melihat",35
nyahaha gw dr rumah ke halim cm 10mnt dongg,43
Sebuah project besar di bully oleh pendukung junjungan yang tolol minta perubahan...,84
Lemot amat saya naik pesawat surabaya jakarta gak sampai 2jam🤔,62
"Buat saya sih gk worth ... karena dr rumah ke halim nya makan waktu, pake mobil belok langsung tol cikarang bisa lebih cepet ... <br>ya buat yg tinggal sekitaran jaktim sih enak bgt .,",184
Klo cuma 2 jam aj y mending pake mobil lwt tol jg nyampe 2 jam..  Soale gw pernah test drive..  😊,97
"Estimasi 2 jam, lah mendingan naek mobil, sama sama 2 jam 😂😂😂",61
Kak kenapa gak ke rumah aku dulu di cigugur tengah😊,51
Sekarang transportasi dibikin ribet karena penumpang hrs pindah² moda transportasi lainnya..cape deh,100
Keren,5
"alah nyetir pake mobil juga bisa bambang , asal punya rute khusus kaya kereta aja.. jangankan pake mobil , pake motor juga bisa kalo ada rutenya tanpa ada halangan kaya kereta",175
Bang lewatin Stasiun Cimindi nggak,34
"hitungannya cuma 1 jam dari stasiun halim sampe stasiun bandung. luar biasa cepet sih. bawa mobil sendiri, paling cepet 3 jam baru sampe keluaran tol pastur......................kalau ga macet...",195
Sama aja,8
Salfok sma kursi akatsuki,25
Biasalah pejabat org indo...kereta cm smp pdlaramg dibilang bandung...padahal msh nyambung sm fedder...kpn pejabat indo gk omdo...,130
Kurang cepat<br><br>2 jam sama aja kaya pake mobil lebih sat set masuk gang😂😂😂😂,79
di balik abang nya yg naik nyaman disana saya yg jalan kaki dari cimahi sampe gede bage jalan kaki buat cek rel😂,112
Saya sumedang bandung pake mtr 1jam ko,38
Adakah hisab lebih cepat dari anak Adam,39
Ridwan remin,12
Kalo rumah sama tujuannya deket terminal ya termasuk cepat kalo masih jauh dari terminal sama aja harus lama lagi..,115
"Untk sbagian rakyt kecil tdk/blum trjangkau,sbab trmasuk mahl.",62
Kwkwkwkwk sama aja donk gue jakarta bandung naik mobil 2 jam juga,65
"2 jam ya klo berangkat sendiri sih OK relate sih, KCIC lebih di peruntuk kan untuk yang single, pasangan, yang selihgkuhan tapi bukan buat keluarga. <br>tapi klo bawa keluarga sama pembantu mending bawa mobil secara lebih murah <br>Makanya bukin tuh thumbnail nya KCIC bukan buat leluarga😂",289
Sma aja jkt-bnd 2 jam😅,22
"❤Kereta cepat itu soal pemaknaan terhadap waktu.<br>Ada yang masih memaknainya terhadap uang. <br>Tidak apa-apa. Orang bebas cara memaknainya.<br><br>Tapi kalau tiba di tujuan lebih cepat berarti kita punya waktu lebih banyak untuk aktivitas lain yg bernilai. Bisa nilai rekreasi, bisa nilai relasi manusia dll <br>Ketika kita menghemat waktu berarti kita berpotensi untuk memiliki pengalaman  lebih.<br>Jadi, keberadaan kereta cepat jakarta bandung adalah sebuah insentif bagi pengalaman yang lebih/bertambah.",510
🗿🗿,2
Beda 1 jam doang..duit negara habis ratusan triliun..😂,54
Mantap kereta cepat 👍,21
pake mbl sendiri ....sering perawatan engga dihitung spt misal ban aus pajak mbl service rutin pegel linu dst.,110
Dago -penjaringan = pernah 57 menit .,37
Kereta feeder<br>Orang biasa : 😄<br>Player ml   :💀,50
Semua tergantung kebutuhan. Kalo orang yg memang sibuk untuk urusan memang pas naik kereta cepat. Tapi bagi yg ingin menikmati perjalanan dan membawa oleh oleh kuliner tradisional cocok naik bis atau mobil pribadi.,214
"Aku dari blok m ke Bandung buah batu pake mobil cuman butuh waktu 2jam 15menit , asal tidak macet",97
Mau cepat apa enggak yg nikmati keretacepat siapa yg bayar hutang negara seluruh rakyat indo..kereta mah tanpa halangan ngapain g percaya produk sendiri,152
"Hemat 3,5 jam klo naik motor",28
Efisien waktu,13
Brp itu harganya?? Spill dong,29
Brp harganya?,13
Bubar aja ngspain sih,21
Iyalan bang kan  kereta itu memakai magnet,42
Ini orang hitungannya dari rumah banyak hoaxnya😅😅😅,50
"Klo untuk jalan2 di bandung dan sekitarnya mending bawa.mobil sendiri karena lebih flexible. Apalagi harga kereta cepat ini yg ekonominya aja 250 rb/org. Kalo bawa keluarga masih lebih hemat naik mobil. Gw pernah mo staycation aja di bandung. nah ngeliat perbandingan harganya yg cukup jauh, karena gw bertiga, dan karena suami ga mau nyetir juga, akhirnya gw sekeluarga naik travel. brgkt jam 7 dari pool travel di jtwaringin. Sampe di pool cihampelas jam 9. Kaget juga kami, karena ga nyangka sampe jam segitu di pool cihampelas. Soalnya prediksi kami, mengingat saat itu liburan natal, jalanan pasti rame, jadi paling cept masuk bandung jam 10 dan sampe pool jam 10.30. Harganya 115 rb, dibanding kcic 250 rb, dan seatnya di mobil travel juga 2 1. Ga penuh juga mobil travelnya (hanya 4 org dengan kami), dapet air mineral juga. Tipe seatnya juga lebar dan empuk. Jadi walau rumah kami juga ga jauh dari halim, klo cuman mo staycation di bdg, kayaknya kami bakal tetep naik travel, selain lebih murah, ga harus pindah2 kereta, datengnya juga ga beda jauh dari kcic. Pulangnya juga sama, karena pulangnya jam 11, di travel itu cuman kami bertiga, jadi berasa nyarter wkwkwk",1175
yaatuya cepet bang,18
Proyek mahal dan tololnya pemerintah kebanggan kita,51
"Ancol dg bermacam wahana buat sementara ini sepi dikit dulu, wahana KCIC ini buat sementara masih disukai berbagai usia.",120
Terus apa bedanya sama kereta biasa yang cuman 2 jam?,53
Aku udah pernah 2kali,21
Makasih infonya,15
Oke infonya.,12
"<a href=""https://www.youtube.com/watch?v=1AnfgY_0lMk&amp;t=470"">7:50</a>-<a href=""https://www.youtube.com/watch?v=1AnfgY_0lMk&amp;t=585"">9:45</a>, coba naik mobil dari rumah ke bandung bang",189
Norak😂,6
Dengan kendaraan mobil pribadi Jakarta bandung bisa dibawah 2 jam sampe lokasi...menurut saya...!!,98
Brpa ongkosnya naik kereta cepat kak ?,38
Sama aja pake mobil,19
Lebih enak pake mobil,21
Abis itu tidur di stasiun bandung..,35
Bagi yg rumahnya deket STASIUN Halim ya cepet,45
Bawa mobil sendirii atau Travel 2Jam atau lambat²nya 30mnit,59
Ribet pndah2 kereta,19
"Lama ribet saya pakai mobil innova zenik jam lumayan padat start karawaci - pasteur bandung hanya 2,5 jam",105
Koq masih transit,17
Tar we naiknya kalo udah milik sendiri.. biar berasa enaknya.,61
Seperti jaman pas shinkansen dibuat pertama..  bnyak yg nolak .. cemooh.. dll..  dan sekarang.. mereka jepang.. membanggakan kereta cepatnya.. . Sekarang jepang sudah negara maju..,180
"KCIC / Kereta Cepat Indonesia China, info beli kartu&#39;nya min 🙏",66
Kecepatan 350,13
om dimas pake jam seiko apa tuh?,32
Naik kereta feeder nya bayar lagi ga sih kak? Belum nyobain soalnya heheheh,75
Sama kek naik travel langsung masuk hotel,41
Saya jkt bandung gak nyampe 2 jam,33
Dan sebesar apa program subsidi nya,35
Teruslah promosi...<br>Namanya juga usaha.,42
"Daei kota asal ke kota tujuan ya 1 jam itu namanya gimana sih, gk ngerti matematika dasar..",91
Tiketya berapa dri jakarta ke bandung mas bro ?,47
Dah coba....beti lah.....mash ribet...krn nyambung2 ...😮,56
Saya nyetir sendiri kdg hanya 2jam kurang ke lembang bdg .. tpi tngah malam,75
KCIC kereta cepat boong boong naik bus saja ke bandung tak sampai 2 jam trus KCIC hasus  bayar 250- 350 k....😂😂😂😂  Dimana nilai ekonominya dan nilai,148
E revisi coy caba pake mobil itu,32
sampe 9.45 berangkag jam 7 😂. masih cepet bawa mobil sih 😂,58
bis juga sama dari tol UKI lewat Cipularang tol 2 jam sampe bdg😂,64
naik day trans promo cuma 50rb jkt bdg jkt duduk manis,54
Subsidi nya nyari pajak motor,29
"Nov 2023 lalu di China saya naik kereta cepat Guangzhou (Guangdong) - Dali (Yunnan).<br>Bukan yg paling cepat, tp yg kedua tercepat (kelas D) di top speed sekitar 250 km/jam.<br>Kalo saya lihat di GMaps jaraknya kurang lebih seperti Jakarta - Lombok, dan cuma ditempuh dalam 10 jam doang.",290
Mw dong ikut bang gpp dah duduk di masinis😂😂😂😂 asal bisa ikut bang,66
Utang ampe 30 thn gara2 jokowidodo,34
Wuß,3
Bayar hutang demi kereta cepat perbulan 296 milyar selama 30 thn..😭😭😭😭😭😭😭,73
ada juga yang sampe st teggaluar bandung gak usah naik kereta fedder,68
"Kalo gua udah sampe padalarang naik taksi online,karna rumah gua di kota baru parahyangan bang😂",95
hoaks lu...,11
"Belajarlah sampai ke negri china,china top deh😅👍",48
Itu kereta cepat buatan  kakek saya budi karya sumadi,53
Mengapa ada awan akatsuki itu 😂,31
Mana yang kemarin teriak hutang hutang. Ujungnya nikmati juga.,62
Para pinjilat,13
350 / jm..panjang relnya cmn 145  kl..apa gk nanggung ya😂😂😂,59
"Mau tnya, jalurnya itu khusus kereta cepat apa nyatu sama, jalur lain?... Pgn nyoba tpi masu ragu... Kereta biasa aja kmrn tabrakan apalagi kereta cpt",150
Ke liat train to busan 😂👍,25
Sangat mewakili,15
Org bandungpun skarang yg kerja di jkt sdah banyak yg ninggalij KOSTnya krna uang kos hmpir sma dg buat PP bandung jkt naik KCIC... jd bisa ttep ketwmu keluarga mesti kerja di jkrta,181
"Saya dari cileunyi ke uki cuma 2 jam 10 menit kok kalo lancar  , padahal bukan pake mobil bagus juga",100
total abis brp ini?,19
Enaknyaaa ada kereta api. Coba di kalimantan ada kereta api. Pasti enak bgt woy aku keliling kalimantan. Naik bus capek 😅,121
"Kenapa kereta cepat nya tidak sampai. Ke kota? seharusnya g nyambung lagi, waktu jadi terbuang",94
Semoga transportasi umum kyk kereta dapat merata di seluruh indonesia,69
"Cepat hutang, nyekek",20
Nyetir jakarta bandung 2 jam itu bisa kalo jalan tidak macet. 👍🏻,64
"KRETA NYA EMANG CEPAT YG LELET ITU BAYAR HUTANG NYA , HUTANG KITA BARU SAMPAI KE BANDUNG 80 thn KEMUDIAN BARU SAMPEK, dan ini adslah HUTANG YG NGGAK BISA DI GOYANG2 LG PADA CHINA, JOKOWI HEBAAAAAT🇲🇨🇲🇨🇲🇨😇😎🤣🤣🤣",207
"Sulit ya, mesti pindah-pindah, dari stasiun ke stasiun lain",59
Enak Jokowi kan 😅,17
Dan akhirnya sebentar lagi rakyat kecil dari Sabang sampai Merauke yg hanya punya motor dan tidak pernah merasakan nyamannya KCIC harus mensubsidi tiket buat orang kaya yg mau menikmati perjalanan dg nyaman melalui kenaikan pajak kendaraan bermotor yg sudah direncanakan opung LBP... ( Ini LBP sendiri loh yg bilang ),317
jadi pen nyobain,16
Sudah bagus dan nyaman kho capres tertentu mau memangkrakan kerta cepat  aneh ya kelihatan dendamnya,100
Luar Biasa cepat nya ..ga berasa waktu aku naik..siapkan harga tiket dan harga waktu pas lah..mantap ..Terima kasih banyak Pak Jokowi 🙏🏻🙏🏻✌🏻🥰🥰🥰,143
"Yg lama itu ngelunasin uang hutang nya,,,",41
2 jam juga klo lancar,21
Sayang banget ga langsung ke stasiun Bandung,44
Nyetir sampe mas 2 jam.. Gw pernah ko,37
Moga2 feeder nya diperbanyak.. jd lbh banyak akses bt menuju ke kereta cepat,76
"Selamat Hutang tambah lagi,🎉",28
Yang penting jaga kebersihan dan kita rawat bersama . Supaya Indonesia negeri ku ini di kenal,93
Ridwan remin versi glow up :v,29
"15 menit udh 300km/jam, dan klen msh mau nrobos palang rel? atau msh mau nyuruh kondektur nya ngerem?",101
"Bagaimana kalo kereta cepat + jalur cepat jadi jalurnya cuma lurus gitu, bakal secepat apa ya",93
"klo kereta cepat penuh bnyk penumpang nya berati rakyat sejahtera.. krn menurut sy kereta cepat itu buat penumpang menengah keatas, sy sih gak sanggup beli tiket nya",165
"Akan berasa kalo pajak udh naik, karena pembayaran hutang pembangunan KCIC<br>Menggunakan APBN.. Ngeri",102
Maksudnya 2 jam itu dihitung mulai dari rumah,45
Gw kmrn pp senyaman n secepat ituuu sygnya mahal aja tix nya.. Tp worth it sih...,81
sampai bandung ketika mau jalan2 keliling dan belanja di bandung pakai apa bang?....,84
Informasinya sekalian harga tiket nya.🙏,39
"Ga geter tp rumah dibawahnya gemuruh kenceng, gw tau soalnya pernah nongkrongin dibawah relnya",94
coba bandingin sama parahyangan bang...<br>selisih waktu sama selisih harganya berapa..<br>sama2 tujuan akhir st bandung kota..,127
"Gak tertarik, mending buat di tabung",36
"Kereta Cepat Jakarta - Padalarang ya, bukan Jakarta - Bandung 😂",63
"Paling murah 150rb, pulang pergi 300 berati bener kah ?",55
Baru duduk sdh sampe.. Kayaknya kurang jauh jarak tempuhnya.. Coba Jakarta Surabaya atau jakarta Semarang..,107
"Sekali-kali naik kereta cepat boleh lah biar gak dibilang katro, tp cukup sekali aja.<br>Udah mahal, gak penting2 amat kereta cepat, hutangnya aja yg gede.<br>Kepada seluruh rakyat indonesia selamat membantu nyicil hutang ke china yach!",236
"muka lu pelastikin aja tot,, ga enak diliat,, ganteng kaga,,",60
Semoga bisa ada semua kawasan Indonesia,39
Yaa cepatnya dihitung naik ka apinya dong...,44
Gua pernah dr bogor jam 2 pagi sampe pasteur jam 4. Sebenernya klo tolnya ga rame perjalanan bisa cepet,103
"Sayangnya masih pake feeder, coba kalo langsung ke Bandung, itu baru te o pe be ge te",85
Semoga kurang dari 5 tahun kedepan ada kereta cepat jakarta-jawa timur,70
Katanya 45 menit,16
ridwan remin,12
Sama kaya kalo naik bus patas,29
Harga normal tiket brpa?,24
Serpong-Bandung:<br>Ke Halim 60 menit<br>Ke Padalarang 28 menit kalau langsung berangkat<br>Ke Tegal luar 20 menit kalau langsung berangkat<br>Ke kantor 30 menit<br>Total 2 jam 20 menit.<br>Naik mobil 2.30 menit<br>........😂😂😂😂😂😂,229
jam 00.00 berangkat dari serang timur sampai pintu tol mohamad toha jam 01.30... cuma pake avanza veloz...😂😂😂,109
seharusnya stasiun ada banyak di jakarta,40
Era jokowi mana yg sering ngebully pakde???,43
"Bagi yg bilang mending nge tol, perjalanan dr rumah ke gerbang tol aja blm tentu lancar, blm nanti di tol kemudian nya di exit nya menuju tujuan.. 😂, jd semua harus diperhitungkan masing-masing individu yg mau melakukan perjalanan jkt-bdg",238
Karna lama kelamaan mode instant itu perlu banget,49
Memang ada apa dipadalarang bandung ...??? <br>Sehingga kami disumatra kalimantan papua dll harus bangga punya kereta cepat yang harus dibayar dengan uang pajak kami...😎😎😎,171
"Kalau mau ke stasiun kcic padalarang dari stasiun bandung itu naik kereta feeder?, itu kita beli tiket kcic udah termasuk kereta feeder dari stasiun bandung ke stasiun kcic padalarang?. Pliss dong kasih penjelasannya🙏",217
Nikmati saja .... Moga cpt lunas hutang nya ...😂😅,49
Semoga dsulawesi jg bsa dbngun MRT🤧,35
Sama aja kalo lewat tol,23
Terlalu lama lebih baik naik kendaraan bus atau mobil pribadi,61
Dari karawang cuma 1 jam hahaha pake mobil aja dah,50
"Dari rumah di jkt bawa mobil sendiri berangkat jam 6.30.<br>Pukul 8.30 sudah sampai rumah di Bandung. <br>2 jam sudah sampai dari rumah jkt  ke rumah di bdg, bukan sampai statsiun bdg 😊",185
"Sangat bahaya karena rel,nya masih kayak rel KA biasa dengan kecepatan secepat itu . Coba lihat kereta cepat luar negri lintasan,nya .",134
harusnya dari sabang sampai merauke..,37
Wkwkwkw... 2024 pke nyambung kereta lg... kyk naek angkot aja woi...,68
Gak pengen,10
hero the flash bilek&quot;lah gw lari aja cepat banget kok&quot;<br>edit:   <br>makasih satu like nya<br>(padahal like sendiri),127
Ini kereta woosh kan😅,21
8.45 ke 9.45 bukankah 1 jam?,28
"masih kurang cepat bang, kalo jkt-bdg bisa 1menit baru bisa dibilang cepat<br>i don&#39;t care what they say!!!",111
"Kalo mau berasa mah kereta shikansen japan  , per tiket paket selama 2 minggu 7,7 jt   itu baru mantap kecepatan 350++",118
pingin coba tapi belum kesampaian.,34
Berangkat pagi sampe masih pagi😮,32
Sering berangkat ke bandung dr rumah di jaksel 2 jam juga,57
Saya t&#39;distract sm LandRover canvas-ny... Hehe,50
"Saya nyetir mobil dari tebet ke bandung,berangkat hari minggu jam 8 pagi,nyampe tol pasteur bdg ga nyampe jam 10 pagi 😁 karena tol sepi &amp; kecepatan rata2 diatas 100km/jam...bensin 10 liter + biaya tol, ngabisin duit 200rban berangkat sekeluarga sekali jalan 😁",263
Jalur nya udah ada tinggal lurus gada lampu merah gada macet .. bukan cepet . Tapi emang jalur nya sendiri gada yg ganggu,121
Kalo aku sihh tetep enak nyetir 😂😂😂😂,36
"Kereta lokal aja uda celaka,apa lagi pakai .... Kalau celaka 90% koit",69
Berkat pak Jokowi. Kita lanjut kan pembangunan untuk pilih Prabowo Gibran. ❤,76
Terimakasih China,17
"Sama aja ama bawa mbl sendiri,bawa mbl enak gk turun naek,itu dari stasiun bndung msh naek grab atau taksi lg",109
Yg mesti lbh terintegrasi itu commuter line &amp; LRT dari dan menuju stasiun halim dr jabodetabek...klo msh lewat aspal naik taksi sih ya klo dr tangerang lbh lama tangerang-halim dibanding total whoosh+feeder ke stasiun bandung...,232
"ngaco bilang 2jam. sengaja biar pada comment😂,",46
"SAma cepat dengan naik mobil lewat tol padalarang  jakarta bandung dengan kecepatan 80 sd 100 km/jam hanya 2 jam tapi jika kecepatan 120 sd 140  km/jam  cuma 1,5 jam",165
Kereta cepat mau di rubah Anis dan cak Imin kalau Mereka Terpilih. Mau di ganti Becak cepat perjalanan JKT bandung cm 10menit,125
Aku cinta palestina <br>❤🖤🖤🖤🖤🖤🖤🖤🖤<br>❤❤🖤🖤🖤🖤🖤🖤🖤<br>❤❤❤🤍🤍🤍🤍🤍🤍<br>❤❤❤❤🤍🤍🤍🤍🤍<br>❤❤❤💚💚💚💚💚💚<br>❤❤💚💚💚💚💚💚💚<br>❤💚💚💚💚💚💚💚💚,111
❤️🖤🖤🖤🖤🖤🖤🖤🖤<br>❤❤🖤🖤🖤🖤🖤🖤🖤<br>❤❤❤🤍🤍🤍🤍🤍🤍<br>❤❤❤❤🤍🤍🤍🤍🤍<br>❤❤💚💚💚💚💚💚💚<br>❤💚💚💚💚💚💚💚💚,75
Salfok jam tangannya merek dan tipe apa ya itu?,47
Ribet amat ya harus pindah ke kereta feeder padahal harusnya kereta cepat langsung ke stasiun Bandung aja,105
Argo parahyangan pride😋,23
Bayar hutang nya sampai anak cucu jga ga lunas2😂😂😂,50
Kalo gak rame😂,14
Sampe hotel di Bandung berapa lama tuh...?apalagi kalo hotel nya deket Lembang atau jauh dari stasiun bandung kota..,116
Ini bukan masalah cepatnya pemerintaj ingin agar rakyat indo itu lebih mengutamakan fasilitas umum,98
Coba kereta ada lampu merah gak kebayang kan lamanya,52
Anis ngak mau naik kereta cepat mending naik Mobel .dilihat tetanga,67
Menurut saya LEBIH ENAK DAN CEPAT jika menggunakan alat transportasi KAKI .   HEMAT BAIAYA,90
"Lbih cpat dan efisien lah bang,kan gak isi lampu merah dan juga macet😂",70
That seiko is lit,17
"Buat yang bingung kenapa jadi 2 jam, dia ngitung nya dari rumah <a href=""https://www.youtube.com/watch?v=1AnfgY_0lMk&amp;t=470"">7:50</a> nyampe bandung <a href=""https://www.youtube.com/watch?v=1AnfgY_0lMk&amp;t=585"">9:45</a>. <br>Bukan ngitung dari pas dia naik kreta.",268
"Di Video ini bilang pake KCIC 2 Jam? Ya Iyalah pindah pake feeder, coba terusin ampe Stasiun Akiirnya KCIC itu bnr2 setengah Jam. Gue baru naik KCIC Tanggal 14 Januari 2024. Luar biasa ngebutnya, baru juga duduk udah nyampe lg 🤭🤣",229
"Terima kasih Bpk.Jokowi, mega proyek KA Cepat telah terbukti, Masyarakat Indonesia berbangga, Indonesia setingkat dng Negara² Maju di dunia, Bravo NKRI. ❤️🇲🇨👍",158
"Weh, spill jam yg dipake dong...",32
"Indonesia tahun 1997, sudah buat pesawat terbang dengan Teknologi Fly by wire, yg pada akhirnya di adopsi oleh Airbus Industri Eropa dan terapkan pada produksi pesawat -pesawat terbang produksi Airbus Eropa, yg notabene Boeing masih menggunakan teknologi konvensional, Pak Habibie lah yg membuat teknologi Fly by wire, Indonesia seharusnya bisa membuat kereta cepat karya anak bangsa, bulan mengimpor dari Cina.",411
Kereta cepat hasil ngutang ke China kok bangga sih 😅😂,53
Ditunggu rute Surabaya - Jakarta nya yaaa🤗,42
"Hanya buat yg berduit,, sebenarnya fasilitas tsb untuk semua kalangan rakyat,,dgn harga Sangat murah , dan bukan di kapitalisasi.",129
Sangat efektif sebagai efesiensi waktu juga biaya,49
Utangnya sdah kbayar blum??,27
Ga pernah naik tpi harus bayar hutangnya...edan,47
Tiketnya berapa bang,20
Simpatisan capres 01 haram naek KCIC 🤣😄😄 karena mereka bilang Bebani rakyat dan mangkrak,88
pasti lu langsung ke masjid al jabar yg ada di bandung,54
Bayar hutangnya yg tdk cepat sampai peras pajak rakyat 40‰,58
"Lah kok turun Padalarang,😮 kan kereta api cpt JKT bandung,lah kok di oper 😮",75
2 jam sampai bandung??<br>Itu GAK CEPAT..waktunya sama dg naik mobil lewat tol GOBLOK ..!!😅😅😅,93
"enak ya org Jawa, punya kereta cepat. Sedangkan kami orang Sumatra? Kekayaan banyak dari kami tapi kami gak dapat infrastruktur kayak Jawa ini",142
Brpkah jumlah org yg ad d kereta?<br>A.100<br>B.200<br>C.300<br>D.400,69
Nama kereta: WHOOS,18
Blom pernahbpake sih tp liat yt banyak vloger dr thai malay jepang india bule yg sudah nyobain iri gua.,103
Indonesia keren 😊😊,18
Kok 2 jam,9
Enak ya bg jd org kaya,22
Bᴀɴɢ ᴀᴋᴜ ɴᴀɪᴋ ᴛᴜʀᴀɴɢɢᴀ ᴅɪ sᴛᴀsɪᴏɴ ʙᴀɴᴅᴜɴɢ kota,46
High speed railway Indonesia the best 👍 the first in southeast guys,67
"Beruntungnya saya tinggal di Padalarang, cm 5 menit ke stasiun KCIC",67
saya dr cilandak ke bdg brangkat habis subuh 2 jam-an kok,57
"Ini orang ngapa ya, itu kan tergantung mereka posisi lokasinya dimana emangnya yg menggunakan hanya orang tengah kota aja, kalo orang dari lebak bulus mau ke satsiun gambir atau halim mah sama aja, begitupula yg rumahnya di cihampelas bandung mau ke st bandung atau padalarang jaraknya sama aja,<br><br>Jadi saya lebih setuju stasiunya di perbatasan kota sih lebih adil, mestinya yg di jakarta itu posisi stasiunya di perbatasan jkt bekasi, lalu nanti disambung ke perbatasan tangerang jkt, yg di bandung posisi stasiun sudah sangat tepat yaitu di pdlarang dan tegaluar, tinggal maksimalkan kreta lokal mestinya bandung dah punya jalur krl tengah kota dari puluhan tahun lalu",675
Klo dr bekasi ttp aja jauh ke halimnya sama kayak dr bekasi naik bus primajasa ke bandung,89
Secepat apa kereta tapi yg dihitung mulai dari rumah 💀,54
Jali rakyat indonesia sdh makmur adil merata baru saya bangga punya kareta cepat😢,81
Alhamdulillah Aamiin Yaa Robbal&#39;aalamiin In Syaa Alloh mugia ay widi Alloh SWT semua TIM yg dipimpin oleh pak jokowi sehaat semua di jauhkan dari balai lancar tugasnya dan terus menjadi TIM kuaat merapat terus calon2 tim nasional indonesia yang lebih baik dan cerdas tuk bersatu di ikat talu simpay yg kuat juga sg terus bersilaturahmi nuju indonesia emas pemerataan ekonomi global di ibu pertiwi yg kita cintai kaya.raya sumber daya alamnya. Aamiin Yaa Robb...,465
2017 yg lalu bekasi-bandung pake inova bensin gw cm 58 menit minggu pagi tapi gaspol lari 170km balance ambil lajur kanan terus dan belum etoll,143
Broo..ini kalau di Indonesia sdh ketinggalan zaman broo...,58
udah Sring make di taiwan sama nama nya KAOTE,45
Seharusnya setiap propinsi hrs ada kereta cepat jgn disono aja,62
"bisa nyetir sekenceng itu, pake taxi terbang yang bakalan ada ditahun 2028 nanti 😂",82
Kak aku di bandung ada miko kak ke pangale ngan banyakwisata😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,78
"videonya menjawab sanggahan kereta cepat tidak sampai bandung kota, ternyata sampai",83
pakai mobil pribadi ke bandung 2jam juga. sama dong. muat 7orang.ongkos PP<br>kerta cepat 300000x2(PP)x7orang= 4.200.000 PP kebandung satu keluarga,147
Kelamaan mundar mandir ya jd waktu kelamaan habis sana sini,59
ORANG JAKARTA MOHON NAIK ANGKUTAN UMUM.  BIAR GAK TAMBAH MACET.,63
Gopar ❤ ku....,14
Kalau biaya pembuatam kereta api cepet dipakai utk baiki jalan dikalimantan keren banyak obyek wisata yg eksotis,112
